,max_bid,min_ask
1,1,800
2,1,799
3,1,798
4,261,798
5,261,797
6,261,338
7,261,297
8,262,297
9,262,296
10,262,296
11,262,296
12,262,292
13,263,292
14,263,291
15,264,291
16,264,291
17,264,288
18,264,288
19,264,287
20,264,287
21,264,287
22,264,286
23,264,284
24,264,283
25,264,283
26,264,283
27,264,283
28,264,283
29,264,283
30,264,282
31,265,282
32,266,282
33,266,281
34,266,281
35,266,281
36,266,280
37,266,280
38,266,279
39,266,279
40,266,279
41,266,278
42,266,278
43,266,277
44,266,276
45,266,276
46,266,275
47,266,275
48,266,275
49,266,274
50,266,273
51,266,272
52,266,271
53,266,271
54,266,271
55,266,270
56,267,270
57,267,270
58,267,270
59,267,270
60,267,270
61,267,270
62,267,270
63,267,269
64,267,268
65,267,269
66,267,269
67,267,269
68,267,271
69,267,271
70,267,271
71,267,270
72,267,270
73,267,270
74,267,270
75,267,270
76,267,270
77,267,270
78,267,270
79,267,270
80,267,270
81,267,270
82,267,270
83,267,270
84,267,270
85,267,269
86,267,269
87,267,268
88,264,273
89,264,273
90,264,272
91,264,272
92,264,271
93,264,271
94,264,270
95,264,270
96,264,270
97,264,270
98,264,270
99,264,270
100,264,270
101,264,269
102,264,268
103,264,268
104,264,268
105,264,268
106,264,268
107,264,268
108,264,268
109,264,268
110,264,268
111,264,268
112,264,268
113,264,268
114,264,268
115,265,268
116,265,268
117,265,268
118,265,268
119,265,268
120,265,268
121,265,268
122,265,268
123,265,268
124,265,268
125,265,268
126,265,268
127,265,268
128,266,268
129,266,268
130,266,268
131,266,267
132,266,267
133,266,267
134,266,267
135,266,267
136,266,267
137,266,267
138,260,267
139,260,267
140,260,267
141,260,267
142,260,267
143,260,266
144,260,266
145,260,266
146,260,265
147,260,265
148,260,265
149,260,265
150,260,265
151,260,265
152,260,265
153,260,265
154,260,265
155,260,265
156,260,265
157,261,265
158,261,265
159,261,265
160,262,265
161,262,265
162,262,265
163,262,265
164,262,264
165,262,264
166,262,264
167,263,264
168,263,264
169,263,264
170,263,264
171,263,264
172,263,264
173,263,264
174,263,264
175,263,264
176,263,264
177,263,264
178,263,264
179,263,273
180,263,273
181,263,273
182,263,273
183,263,273
184,263,273
185,263,273
186,263,273
187,263,273
188,264,273
189,264,273
190,265,273
191,265,273
192,265,273
193,265,273
194,266,273
195,267,273
196,268,273
197,268,273
198,268,273
199,268,273
200,268,273
201,268,273
202,268,273
203,268,273
204,268,273
205,268,273
206,268,273
207,267,273
208,267,273
209,267,273
210,267,273
211,267,273
212,267,273
213,267,273
214,261,273
215,261,273
216,261,273
217,261,273
218,261,273
219,261,273
220,261,273
221,261,273
222,262,273
223,262,273
224,262,273
225,262,273
226,262,273
227,262,273
228,262,273
229,263,273
230,263,273
231,263,273
232,261,273
233,261,273
234,270,273
235,270,273
236,270,273
237,270,273
238,270,273
239,270,273
240,270,273
241,270,273
242,270,273
243,270,273
244,270,273
245,270,273
246,270,273
247,270,273
248,270,273
249,270,273
250,260,273
251,260,273
252,260,273
253,260,273
254,260,273
255,260,273
256,260,273
257,260,273
258,260,273
259,260,273
260,260,273
261,260,273
262,260,273
263,260,273
264,260,273
265,260,273
266,260,273
267,260,273
268,260,273
269,260,273
270,260,273
271,260,273
272,260,273
273,260,273
274,260,273
275,260,273
276,260,273
277,260,273
278,260,275
279,260,275
280,260,272
281,260,272
282,260,272
283,260,272
284,260,272
285,260,272
286,260,272
287,260,272
288,260,272
289,260,272
290,260,271
291,260,271
292,260,271
293,260,271
294,266,271
295,266,271
296,266,271
297,266,271
298,266,271
299,266,271
300,266,271
301,266,271
302,266,271
303,260,271
304,260,271
305,260,271
306,260,268
307,260,268
308,260,267
309,260,267
310,260,267
311,260,267
312,260,267
313,260,267
314,260,267
315,260,267
316,260,267
317,260,266
318,260,265
319,260,265
320,260,265
321,260,265
322,260,265
323,260,265
324,263,265
325,263,265
326,263,265
327,263,265
328,263,264
329,263,264
330,263,264
331,263,264
332,263,264
333,263,264
334,263,264
335,263,264
336,263,264
337,263,264
338,263,264
339,263,264
340,263,264
341,260,269
342,260,269
343,260,268
344,260,268
345,260,264
346,260,264
347,260,263
348,260,263
349,260,263
350,261,263
351,261,263
352,261,263
353,261,263
354,261,263
355,261,263
356,261,262
357,261,262
358,261,262
359,261,262
360,260,262
361,260,262
362,260,262
363,260,262
364,260,262
365,260,261
366,260,261
367,260,261
368,259,262
369,259,262
370,259,262
371,259,261
372,259,261
373,259,260
374,259,264
375,259,264
376,259,269
377,259,269
378,259,269
379,259,269
380,259,269
381,259,267
382,259,265
383,259,265
384,259,265
385,259,265
386,259,265
387,259,265
388,259,265
389,259,265
390,259,265
391,259,264
392,259,264
393,259,264
394,259,264
395,259,264
396,259,264
397,259,264
398,259,264
399,259,264
400,259,264
401,259,263
402,259,263
403,259,263
404,259,263
405,259,263
406,259,263
407,259,263
408,259,263
409,259,263
410,259,262
411,259,262
412,259,262
413,259,261
414,259,261
415,259,261
416,259,261
417,259,261
418,259,261
419,259,261
420,259,261
421,259,261
422,259,261
423,259,261
424,259,260
425,259,261
426,259,261
427,259,261
428,257,261
429,257,261
430,257,260
431,257,260
432,257,260
433,257,260
434,257,260
435,257,260
436,257,260
437,257,260
438,257,260
439,257,260
440,257,260
441,257,260
442,257,260
443,257,260
444,257,259
445,257,259
446,257,258
447,257,258
448,257,258
449,257,258
450,257,258
451,257,258
452,257,258
453,257,258
454,254,258
455,254,258
456,254,258
457,254,258
458,254,258
459,254,257
460,254,257
461,254,257
462,254,257
463,254,257
464,254,257
465,254,257
466,255,257
467,255,257
468,255,256
469,255,256
470,255,256
471,255,256
472,255,256
473,255,256
474,255,256
475,255,256
476,255,256
477,255,256
478,255,256
479,255,256
480,252,256
481,252,256
482,253,256
483,253,256
484,253,256
485,253,256
486,253,256
487,253,256
488,253,257
489,253,257
